Date & Time, Open, High, Low, Last, Volume, NumberOfTrades
1980-04-29 00:00:00,1.042,1.097,1.042,1.097,0,0
1980-04-30 00:00:00,1.087,1.087,1.08,1.08,0,0
1980-05-01 00:00:00,1.04,1.064,1.04,1.064,0,0
1980-05-02 00:00:00,1.06,1.067,1.06,1.067,0,0
1980-05-05 00:00:00,1.068,1.068,1.049,1.049,0,0
1980-05-06 00:00:00,1.043,1.043,1.0195,1.0195,0,0
1980-05-07 00:00:00,1.0155,1.058,1.0155,1.058,0,0
1980-05-08 00:00:00,1.035,1.035,1.012,1.012,0,0
1980-05-09 00:00:00,1,1.015,1,1.015,0,0
1980-05-12 00:00:00,1.01,1.019,1.01,1.019,0,0
1980-05-13 00:00:00,1.023,1.035,1.023,1.035,0,0
1980-05-14 00:00:00,1.03,1.035,1.027,1.027,0,0
1980-05-15 00:00:00,1.023,1.023,1.009,1.009,0,0
1980-05-16 00:00:00,1.005,1.007,1.005,1.007,0,0
1980-05-19 00:00:00,1.007,1.007,1.005,1.005,0,0
1980-05-20 00:00:00,1,1.001,1,1.001,0,0
1980-05-21 00:00:00,1.005,1.016,1.005,1.016,0,0
1980-05-22 00:00:00,1.001,1.029,1.001,1.029,0,0
1980-05-23 00:00:00,1.035,1.066,1.035,1.066,0,0
1980-05-27 00:00:00,1.064,1.07,1.0635,1.0635,0,0
1980-05-28 00:00:00,1.066,1.066,1.042,1.042,0,0
1980-05-29 00:00:00,1.045,1.045,1.0375,1.0375,0,0
1980-05-30 00:00:00,1.041,1.041,1.03,1.0325,0,0
1980-06-02 00:00:00,1.037,1.037,1.0195,1.0195,0,0
1980-06-03 00:00:00,1.015,1.015,1.004,1.004,0,0
1980-06-04 00:00:00,1.025,1.025,1.02,1.02,0,0
1980-06-05 00:00:00,1.016,1.016,1.016,1.016,0,0
1980-06-06 00:00:00,1.019,1.019,1.0105,1.0105,0,0
1980-06-09 00:00:00,1.005,1.0225,1.005,1.0225,0,0
1980-06-10 00:00:00,1.01,1.01,0.99,0.99,0,0
1980-06-11 00:00:00,0.997,0.997,0.981,0.981,0,0
1980-06-12 00:00:00,0.993,0.999,0.993,0.999,0,0
1980-06-13 00:00:00,0.999,0.999,0.985,0.985,0,0
1980-06-16 00:00:00,0.98,0.995,0.98,0.988,0,0
1980-06-17 00:00:00,0.988,0.997,0.988,0.997,0,0
1980-06-18 00:00:00,1,1.011,0.9865,0.9865,0,0
